아이템아이디,행사주관기관,행사명,모집인원/구분,예약최대인원,예약최소인원,행사시작일,행사종료일,예약시작일,예약종료일,예약시작시간,예약종료시간,휴무요일,당일예약가능여부
472,축령산숲학교,숲속여행,30명/일,30,0,2015-10-01,2015-10-31,2015-10-01,2015-10-31,0,24,|tue,0
489,민물고기 생태학습관,학습관예약(1~9월),1500명/일,500,30,2016-01-27,2016-09-30,2016-01-27,2016-09-30,0,18,,0
491,"물향기-해설프로그램(개인,단체)",오전10시,60명/일,60,0,2016-04-01,2016-04-01,2016-04-01,2016-04-01,10,10,|mon,0
492,"물향기-해설프로그램(개인,단체)",오전10시,20명/일,0,0,2016-04-02,2016-04-02,2016-04-02,2016-04-02,0,0,,0
493,"물향기-해설프로그램(개인,단체)",오전10시,20명/일,0,0,2016-04-03,2016-04-03,2016-04-03,2016-04-03,0,0,,0
494,"물향기-해설프로그램(개인,단체)",오전10시,30명/일,0,0,2016-04-05,2016-04-05,2016-04-05,2016-04-05,0,24,,0
495,"물향기-해설프로그램(개인,단체)",오전10시,75명/일,0,0,2016-04-06,2016-04-06,2016-04-06,2016-04-06,0,24,,0
496,"물향기-해설프로그램(개인,단체)",오전10시,105명/일,0,0,2016-04-07,2016-04-07,2016-04-07,2016-04-07,0,24,,0
497,"물향기-해설프로그램(개인,단체)",오전10시,45명/일,0,0,2016-04-08,2016-04-08,2016-04-08,2016-04-08,0,24,,0
498,"물향기-해설프로그램(개인,단체)",오전10시,20명/기간,0,0,,,2016-04-09,2016-04-10,0,24,,0
499,"물향기-해설프로그램(개인,단체)",오전10시,60명/일,0,0,2016-04-12,2016-04-12,2016-04-12,2016-04-12,0,0,,0
500,"물향기-해설프로그램(개인,단체)",오전10시,75명/일,0,0,2016-04-14,2016-04-14,2016-04-14,2016-04-14,0,24,,0
501,"물향기-해설프로그램(개인,단체)",오전10시,45명/일,0,0,2016-04-15,2016-04-15,2016-04-15,2016-04-15,0,24,,0
502,"물향기-해설프로그램(개인,단체)",오전10시,20명/기간,0,0,,,2016-04-16,2016-04-17,0,0,,0
503,"물향기-해설프로그램(개인,단체)",오전10시,60명/일,0,0,2016-04-19,2016-04-19,2016-04-19,2016-04-19,0,0,,0
504,"물향기-해설프로그램(개인,단체)",오전10시,75명/일,0,0,2016-04-22,2016-04-22,2016-04-22,2016-04-22,0,24,,0
505,"물향기-해설프로그램(개인,단체)",오전10시,20명/일,0,0,2016-04-23,2016-04-23,2016-04-23,2016-04-23,0,24,,0
