집계년월,시군명,농원명,대표자명,승인연도,농원면적,주요시설정보,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
2024-12,가평군,농부의뜰 관광농원,,2021,3439,"영농체험시설, 휴게음식점,지역특산물판매장",,,,,
2024-12,가평군,Zephyr-산들바람 가평 관광농원,,2024,5436.3,"영농체험시설, 음식점",,,,,
2024-12,가평군,산들애파크188 다산트라 관광농원,,2024,23765.2,"영농체험시설(재배부지), 숙박시설",,,,,
2024-12,가평군,아리울 관광농원,,2024,4689.4,"영농체험시설(재배부지),야영장 및 그늘막,수영장",,,,,
2024-12,가평군,천원화조 관광농원,,2024,25836,"영농체험시설,  음식물제공시설, 지역특산물판매장",,,,,
2024-12,가평군,휴밸리 관광농원,,2024,4375.4,"영농체험시설, 숙박시설(생활), 음식물제공시설, 지역특산물판매장",,,,,
2024-12,가평군,헬리오스 관광농원,,2024,6666.6,"영농체험시설,숙박시설",,,,,
2024-12,가평군,일칠일 관광농원,,2023,5289.9,"영농체험시설, 음식점, 야영장",,,,,
2024-12,가평군,아이섬관광농원,,2018,10921,"영농체험시설, 음식점, 야영장, 실내운동장",,,,,
2024-12,가평군,무지개 관광농원,,2022,7493,"영농체험시설, 휴게음식점,숙박시설",,,,,
2024-12,가평군,가평양떼목장,,2020,5744,"영농체험시설,썰매장,운동장",,,,,
2024-12,가평군,잣나무 관광농원,,2024,11689,"영농체험시설, 야영장",,,,,
2024-12,가평군,구름산 관광농원,,2022,14235,"영농체험시설, 야영장, 휴게음식점",,,,,
2024-12,고양시,살구농원,,2024,15659,"영농체험,휴양시설, 놀이터 등",,,,,
2024-12,고양시,관광농원 숨터,,2024,29067,"영농체험,야영시설, 음식점 등",,,,,
2024-12,광주시,정인 관광농원,,2020,3636,"영농체험시설, 유실수 식재지, 휴식공간 등",,,,,
2024-12,김포시,김포관광농원,,2016,29900,"영농체험시설, 야영장, 체육시설 등",,,,,
2024-12,김포시,문수산,,2010,7405,"숙박, 농업체험",,,,,
