시군명,목장명,전화번호,홈페이지주소,목장주명,사육두수(두),조성년도,목장면적(㎡),주요시설명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
김포시,꿈목장,070-8806-5352,http://blog.naver.com/dream14242,이윤재,80,2010,37950,"치즈체험실, 유가공장비, 조경, 마차, 하우스돔 등",10009,경기도 김포시 통진읍 귀전리 940,경기도 김포시 통진읍 귀전로56번길 188,37.7139608028,126.6062327688
안성시,쌍지목장,,,윤태광,70,2017,2310,"유가공체험(피자, 치즈만들기), 글림핑장(숙박) 등",17504,경기도 안성시 고삼면 쌍지리 151-9,경기도 안성시 고삼면 쌍지길 292,37.1221739990,127.2863983306
여주시,은아목장,031-882-5868,http://eunafarm.com,조옥향,40,2009,69421,"치즈벳, 원유균질기, 숙성실, 민박시설, 판매시설 등",,경기도 여주시 가남읍 금당2리 산41-10,,37.2126749839,127.6196688408
연천군,애심목장,031-834-3601,http://www.welovefarm.com,최철,60,2009,15500,"치즈체험실, 유가공장비, 조경, 마차 등",11009,경기도 연천군 연천읍 와초리 74-4,경기도 연천군 연천읍 와초길 10-55,38.1407974334,127.0935039342
용인시,농도원목장,031-321-0445,http://nongdo.co.kr,황병익,120,2007,170000,"치즈체험실, 유가공장비, 마차, 급수시설 등",17167,경기도 용인시 처인구 원삼면 사암리 산68-1,경기도 용인시 처인구 원삼면 원양로377번길 1-34,37.1924651212,127.3011298182
용인시,청계목장,031-322-5200,http://cheonggyefarm.com,"조성환, 조근우",200,2009,82644,"치즈체험실, 유가공장비, 숙성실 등",17179,경기도 용인시 처인구 백암면 박곡리 270-3,경기도 용인시 처인구 백암면 청계로104번길 20,37.1534028711,127.3972037813
이천시,와우목장,031-641-3366,http://www.wowdairy.com,위철연,270,2008,90000,"치즈체험실, 유가공장비, 마차, 급수시설 등",17411,경기도 이천시 설성면 금당리 278-1,경기도 이천시 설성면 진상미로665번길 95-14,37.1292705714,127.5133858688
파주시,고구려목장,031-958-9515,http://ggr-ms.kr,"지성곤, 황은경",60,2011,1568,"축사, 밀크스쿨공방, 말사육장, 활쏘기, 체험장, 동물사육장 등",10804,경기도 파주시 적성면 어유지리 136-2,경기도 파주시 적성면 어못내길 150-46,38.0010755635,126.9921541836
파주시,모산목장,031-946-8026,http://mosanfarm.com,문진섭,100,2007,10000,"치즈체험실, 유가공장비, 마차, 급수시설 등",10846,경기도 파주시 탄현면 축현2리 347,경기도 파주시 탄현면 검산로519번길 6-36,37.8015656665,126.7243229041
포천시,하네뜨치즈목장,070-4177-9066,http://hanatte.co.kr,장미향,60,2009,148500,"전망카페, 치즈공방, 치즈만들기, 아이스크림·버터만들기 등",11130,경기도 포천시 영중면 거사2리 303-7,경기도 포천시 영중면 금화봉길 583-8,37.9886832419,127.2370486028
화성시,진주목장,031-356-0073,http://jinjufarm.com,이원주,70,2008,100050,"유가공실험실, 사무실, 유가공장비, 숙박시설 등",18283,경기도 화성시 비봉면 구포2리 941-42,경기도 화성시 비봉면 일묵동길 24,37.2412770773,126.8793309596
화성시,신하늘목장,031-356-2065,http://shnfarm.co.kr,"안병직, 이정희",100,2008,52800,"치즈체험실, 유가공장비, 마차, 홍보물 등",18281,경기도 화성시 남양읍 장덕리 273번지,경기도 화성시 남양읍 장덕동길 32-9,37.1620106723,126.8097115833

