체험마을명,시도명,시군구명,체험프로그램구분,체험프로그램명,보유시설정보,체험휴양마을면적,체험휴양마을사진,소재지도로명주소,소재지지번주소,대표자명,대표전화번호,지정일자,홈페이지주소,관리기관명,위도,경도,데이터기준일자
두미남구어촌체험휴양마을,경상남도,통영시,어촌생활체험,자망체험+통발체험+낚시체험+섬일주체험+스노클링체험,,,,경상남도 통영시 욕지면 두미남부길 19,,신태근,,2023-08-11,http://www.두미남구어촌체험휴양마을.kr,한국어촌어항공단,34.69818112,128.1997222,2025-08-27
죽도어촌체험휴양마을,경상남도,통영시,어촌생활체험,기타,,,,경상남도 통영시 한산면 죽도길 26-23,,정지홍,,2024-03-14,httP://www.죽도어촌체험휴양마을.kr,한국어촌어항공단,34.73428352,128.5301092,2025-08-27
봉암몽돌어촌체험휴양마을,경상남도,통영시,어촌생활체험,기타,,,https://www.seantour.kr/newseantour/upload/attach/village/20250121/VLAGE_39720636822629897.jpg,,경상남도 통영시 한산면 추봉리 908-4,김정호,,2024-11-27,,한국어촌어항공단,34.7592843,128.5111065,2025-08-27
대도어촌체험휴양마을,경상남도,하동군,어촌생활체험+레포츠,"바지락캐기,고동잡기체험+해상콘도낚시체험+좌대낚시체험",교육장+주차장+체험센터,,https://www.seantour.kr/newseantour/upload/license/image/20190927/6D2B9F061F8740D1A3BDE41FD107BEC2.jpg,경상남도 하동군 금남면 대도길 125,,이성봉,070-4208-8100,2013-03-05,http://www.대도어촌체험마을.kr/,한국어촌어항공단,34.93235548,127.8323474,2025-08-27
사계어촌체험휴양마을,제주특별자치도,서귀포시,어촌생활체험+레포츠+만들기체험,해녀체험+선상낚시체험+태왁무드등만들기체험,실내체험장+교육장+주차장+체험센터,,https://www.seantour.kr/newseantour/upload/license/image/20190927/D7EBF17DBD604B5E9709E411A8FE35D7.jpg,제주특별자치도 서귀포시 안덕면 형제해안로 13-1,,김기범,064-792-3090,2017-02-01,http://www.사계어촌체험마을.kr/,한국어촌어항공단,33.22785137,126.3050785,2025-08-27
위미1리어촌체험휴양마을,제주특별자치도,서귀포시,레포츠,스킨스쿠버+갯바위 낚시+선상낚시,교육장+주차장+샤워장,,https://www.seantour.kr/newseantour/upload/license/image/20190930/69F66E5CBB2E40DDB477DAC0B876A983.jpg,제주특별자치도 서귀포시 남원읍 위미해안로 47,,김병국,064-764-0303,2024-02-01,http://www.위미1리어촌체험마을.kr/,한국어촌어항공단,33.27074384,126.6588691,2025-08-27
강정어촌체험휴양마을,제주특별자치도,서귀포시,어촌생활체험+레포츠,바룻잡이+구멍.갯바위낚시+원체험,교육장+주차장+식당,,https://www.seantour.kr/newseantour/upload/license/image/20190926/823311EA03F742EFB813B639A8B9BB57.jpg,제주특별자치도 서귀포시 말질로 290,,윤길범,064-739-0773,2015-11-01,http://www.강정어촌체험마을.kr/,한국어촌어항공단,33.22756422,126.4747203,2025-08-27
법환어촌체험휴양마을,제주특별자치도,서귀포시,어촌생활체험+기타,물질체험+해녀학교+문화체험,교육장+주차장+체험센터,,https://www.seantour.kr/newseantour/upload/license/image/20190927/A76DE7EBD5294FDDA9DCD0C62C7C027A.jpg,제주특별자치도 서귀포시 법환로 1,,고승철,064-739-1232,2015-01-02,http://www.법환어촌체험마을.kr/,한국어촌어항공단,33.2361406,126.5146523,2025-08-27
구엄어촌체험휴양마을,제주특별자치도,제주시,레포츠,선상낚시,교육장+주차장+정자+샤워실+샤워장,,https://www.seantour.kr/newseantour/upload/license/image/20190926/AEACA307469243259C46E5295EF22EEA.jpg,제주특별자치도 제주시 애월읍 애월해안로 715-1,,김찬수,064-713-2239,2015-06-24,http://www.구엄어촌체험마을.kr/,한국어촌어항공단,33.4841803,126.3773708,2025-08-27
조도어촌체험휴양마을,경상남도,남해군,어촌생활체험,기타,,,https://www.seantour.kr/newseantour/upload/attach/village/20250121/VLAGE_39719594139201612.jpg,경상남도 남해군 미조면 조도1길 34-13,,이승민,,2013-03-05,https://cms.seantour.com/GN029/index.do,한국어촌어항공단,34.69795217,128.0550919,2025-08-27
